Star ,RA,Dec,Vmag,Bmag,Umag
 5797,  -0.591,   1.071,18.716,19.223,19.023
 5800,  -5.967,   6.538,18.884,19.383,19.227
 5802,  -0.182,   0.637,18.615,19.077,18.844
 5807,   1.189,  -0.774,18.479,19.064,18.912
 5810,   6.632,  -6.315,18.563,19.191,19.229
 5814,   0.169,   0.256,18.168,18.302,18.307
 5815,   1.253,  -0.850,18.260,18.760,18.609
 5818,  -3.391,   3.873,18.545,18.738,18.979
 5819,   2.810,  -2.454,16.046,16.573,16.738
 5830,   7.387,  -7.173,18.175,18.389,18.619
 5831,   0.363,  -0.028,15.131,15.839,16.015
 5833,  -0.145,   0.488,17.968,18.623,18.621
 5834,  -5.044,   5.484,18.472,19.097,19.041
 5835,   5.035,  -4.787,16.850,17.593,17.681
 5836,  -7.026,   7.503,15.331,16.163,16.461
 5843,   1.447,  -1.167,18.563,19.073,19.065
 5844,  -3.881,   4.260,17.506,18.186,18.129
 5845,  -5.923,   6.342,18.087,18.808,18.826
 5846,   0.400,  -0.109,15.522,15.870,16.193
 5849,  -7.494,   7.942,18.904,19.352,19.202
 5853,   4.812,  -4.615,17.836,18.587,18.515
 5857,   0.491,  -0.222,18.032,18.745,18.782
 5861,   0.945,  -0.696,18.441,18.953,18.982
 5863,  -1.438,   1.730,17.651,18.326,18.331
 5864,  -0.719,   0.995,17.650,18.190,18.241
 5865,  -0.784,   1.061,18.889,19.494,19.338
 5870,  -8.032,   8.429,18.202,18.912,18.873
 5872,   0.306,  -0.080,16.262,16.283,16.416
 5873,  -1.810,   2.075,18.996,19.553,19.448
 5874,  -0.156,   0.389,18.691,19.105,19.069
 5877,  -1.136,   1.377,17.364,17.696,17.922
 5883,   6.568,  -6.482,18.830,19.381,19.383
 5884,   1.335,  -1.158,18.460,18.906,18.885
 5885,  -1.308,   1.529,18.698,19.231,19.201
 5888,  -0.384,   0.582,18.702,18.797,18.595
 5892,  -9.909,  10.293,15.592,16.399,16.610
 5893,  -5.767,   6.060,18.686,19.107,19.135
 5897,  -0.773,   0.950,18.115,18.982,18.738
 5898,   3.842,  -3.750,18.598,19.245,19.188
 5901,  -5.931,   6.204,15.934,16.108,16.477
 5912, -12.562,  12.950,18.774,19.234,19.209
 5913,   0.740,  -0.635,18.392,18.950,18.737
 5920,  -0.196,   0.301,18.444,18.947,18.716
 5922,  -1.447,   1.572,18.984,19.522,19.341
 5924,   1.288,  -1.221,18.636,19.276,19.159
 5925,   1.464,  -1.401,18.929,19.455,19.456
 5926,  -0.101,   0.193,16.642,16.908,17.001
 5933,  -0.508,   0.582,14.580,15.408,15.760
 5940,  -0.390,   0.432,18.953,19.321,19.022
 5948,   0.447,  -0.447,18.749,19.368,19.120
 5950,  -4.826,   4.925,18.761,19.807,19.622
 5956,   4.374,  -4.467,13.952,14.964,15.569
 5961,   2.708,  -2.795,18.972,19.453,19.354
 5963,  -2.800,   2.800,18.942,19.420,19.181
 5965,   0.669,  -0.744,17.131,17.795,17.714
 5967,   0.145,  -0.224,18.757,19.093,19.004
 5968,  -1.095,   1.038,18.829,19.305,19.114
 5970,  -6.265,   6.306,18.556,19.170,19.038
 5971,   0.082,  -0.172,18.926,19.059,19.611
 5976,   0.860,  -0.988,17.810,18.555,18.550
 5981,  -3.908,   3.858,17.153,17.857,17.911
 5999,   0.122,  -0.300,18.379,18.814,18.796
 6002,  -2.638,   2.510,18.037,18.155,17.596
 6004,   0.183,  -0.366,18.574,19.065,19.048
 6005,  -0.383,   0.210,16.928,17.509,17.359
 6008,   4.068,  -4.328,18.802,19.359,19.284
 6012,  -0.273,   0.081,16.914,17.604,17.514
 6018,  -0.478,   0.254,18.320,18.724,18.836
