Name,H,A
"   741 Botolphia (1913 QT)",10.0,0.1391
"   742 Edisona (1913 QU)",9.55,0.1286
"   743 Eugenisis (1913 QV)",10.2,0.0625
"   744 Aguntina (1913 QW)",10.21,0.0423
"   746 Marlu (1913 QY)",10.00,0.0363
"   747 Winchester (1913 QZ)",7.69,0.0503
"   750 Oskar (1913 RG)",12.13,0.0587
"   751 Faina (1913 RK)",8.66,0.0497
"   752 Sulamitis (1913 RL)",10.2,0.0409
"   753 Tiflis (1913 RM)",10.21,0.2616
"   754 Malabar (1906 UT)",9.19,0.0485
